Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
tudor-black-bay-36-stahl-gelbgold-p426,Tudor Black Bay 36 Stahl/Gelbgold,"<p>Hier präsentieren wir die Tudor Black Bay Stahl/Gold aus dem Jahr 2022 im Full Set. Unsere Bilder sind unbearbeitet und zeigen jedes Detail — mehr, als das bloße Auge wahrnimmt.</p><table><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Referenz</th><td>79503</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Baujahr</th><td>2022</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Durchmesser</th><td>36 mm</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Gehäuse</th><td>Edelstahl/Gelbgold</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Zifferblatt</th><td>Schwarz</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Band</th><td>Edelstahl/Gelbgold</td></tr><tr><th align=""left"" style=""padding:4px 18px 4px 0"">Lieferumfang</th><td>Full Set, Papiere, Box</td></tr></table><p>Jede Uhr wird vor dem Verkauf geprüft. 12 Monate Garantie auf das Werk, 14 Tage Rückgaberecht, weltweiter versicherter Versand oder persönliche Übergabe in unserem Showroom in Frankfurt.</p>",Tudor,Armbanduhr,"Tudor, 79503, 2022, Full Set",TRUE,Titel,Einzelstück,TDR-BLC-BAY-36,shopify,1,deny,manual,3390,TRUE,TRUE,https://hahn-vo-df1c.vercel.app/assets/products/p426/0.jpg,1,Tudor Black Bay 36 Stahl/Gelbgold,active
tudor-black-bay-36-stahl-gelbgold-p426,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p426/1.jpg,2,Tudor Black Bay 36 Stahl/Gelbgold,
tudor-black-bay-36-stahl-gelbgold-p426,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p426/2.jpg,3,Tudor Black Bay 36 Stahl/Gelbgold,
tudor-black-bay-36-stahl-gelbgold-p426,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p426/3.jpg,4,Tudor Black Bay 36 Stahl/Gelbgold,
tudor-black-bay-36-stahl-gelbgold-p426,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p426/4.jpg,5,Tudor Black Bay 36 Stahl/Gelbgold,
tudor-black-bay-36-stahl-gelbgold-p426,,,,,,,,,,,,,,,,,https://hahn-vo-df1c.vercel.app/assets/products/p426/5.jpg,6,Tudor Black Bay 36 Stahl/Gelbgold,
